video_id,title,channel_name,category_name,view_count,like_count,comment_count,engagement_score,duration_seconds,thumbnail_url,published_at,processed_at
dESIGVxSSCE,"Dhurandhar The Revenge - AARI AARI | Ranveer Singh | Shashwat Sachdev, Bombay Rockers | Aditya Dhar",T-Series,Music,16681041,392264,10808,2.4163479965069325,164,https://i.ytimg.com/vi/dESIGVxSSCE/hqdefault.jpg,2026-03-12 06:42:17+00:00,2026-03-15 09:47:54.859724
MLU5ZEp9YDo,Ustaad Bhagat Singh Trailer | Pawan Kalyan | Harish Shankar | Sreeleela | Raashii Khanna,Mythri Movie Makers,Entertainment,8443623,444568,9828,5.381528758448831,134,https://i.ytimg.com/vi/MLU5ZEp9YDo/hqdefault.jpg,2026-03-14 13:00:20+00:00,2026-03-15 09:47:54.859724
PQxomB2-C34,[Hindi] BGIS 2026 | SEMI FINALS | Day 3 #BGMILIVE #BGIS,KRAFTON INDIA ESPORTS,Gaming,3087661,97971,360,3.184643650970751,19995,https://i.ytimg.com/vi/PQxomB2-C34/hqdefault.jpg,2026-03-14 14:43:48+00:00,2026-03-15 09:47:54.859724
in-VYGclxQw,Collar Ey Etthara - Lyric Video | Ustaad Bhagat Singh | Pawan Kalyan |Harish Shankar|Devi Sri Prasad,Sony Music South,Music,7137304,304880,3549,4.321365602473987,261,https://i.ytimg.com/vi/in-VYGclxQw/hqdefault.jpg,2026-03-12 11:30:19+00:00,2026-03-15 09:47:54.859724
D6sCbIv4N7Y,"Bhooth Bangla -Official Teaser | Akshay Kumar, Tabu, Paresh, Wamiqa, Priyadarshan |In Cinemas 10 Apr",Balaji Motion Pictures,Film & Animation,19213762,271674,12906,1.4811258721743301,84,https://i.ytimg.com/vi/D6sCbIv4N7Y/hqdefault.jpg,2026-03-12 05:41:02+00:00,2026-03-15 09:47:54.859724
E2rtId8PzV0,Minecraft But I Opened a Mob Daycare..,Carry Depie,Gaming,1022984,13735,712,1.4122410516684523,1186,https://i.ytimg.com/vi/E2rtId8PzV0/hqdefault.jpg,2026-03-13 11:43:39+00:00,2026-03-15 09:47:54.859724
h0X_h3y96n4,Sarse Ninna Seraga Sarse Kannada Song  | KD | Nora Fatehi | Dhruva Sarja | Prems | AJ | KVN,Anand Audio,Entertainment,916341,21082,1205,2.4321731757064238,235,https://i.ytimg.com/vi/h0X_h3y96n4/hqdefault.jpg,2026-03-14 13:47:03+00:00,2026-03-15 09:47:54.859724
Exukk6JO9i0,BTS (방탄소년단) '아리랑 (ARIRANG)' Animation Trailer: What is your love song?,BANGTANTV,Music,3277567,692318,39558,22.32985626228236,64,https://i.ytimg.com/vi/Exukk6JO9i0/hqdefault.jpg,2026-03-13 02:00:00+00:00,2026-03-15 09:47:54.859724
28aVatf_1gI,🔴[Live Free Fire New Rank Season Rank Push Live !!,VISHNU RAJPUT GAMING,Gaming,1109949,20168,16,1.8184619293318882,42898,https://i.ytimg.com/vi/28aVatf_1gI/hqdefault.jpg,2026-03-14 18:29:54+00:00,2026-03-15 09:47:54.859724
aTD4Jgculqw,#Video | जेल यात्रा | #Jail Star Raushan Rohi | Jail Yatra | New #Maghi Rangdari Song 2026,Raushan Rohi - Junction ,Music,256033,3525,57,1.399038405205579,163,https://i.ytimg.com/vi/aTD4Jgculqw/hqdefault.jpg,2026-03-13 00:45:00+00:00,2026-03-15 09:47:54.859724
6QhTM9QuP_Y,#HotstarSpecials Muthu Engira #Kaattaan streaming from March 27 only on  #Jiohotstar | Trailer,JioHotstar Tamil,Film & Animation,1192697,6132,339,0.5425518803183038,120,https://i.ytimg.com/vi/6QhTM9QuP_Y/hqdefault.jpg,2026-03-13 12:30:09+00:00,2026-03-15 09:47:54.859724
TbTRDaH1J1U,Nobita Opened the Biggest Waterpark 🤑,Tyro Gaming,Gaming,787292,5831,528,0.8077054002835035,661,https://i.ytimg.com/vi/TbTRDaH1J1U/hqdefault.jpg,2026-03-13 13:55:01+00:00,2026-03-15 09:47:54.859724
_rk8opPEPAM,Nas Nas Kyu Dukhe पिया मेरी नस नस के हो दुखे || Anjali Raghav & Karan Chaudhary !! Brajbhasha Song,Sukoon Music,People & Blogs,356661,1093,23,0.31290216760453204,499,https://i.ytimg.com/vi/_rk8opPEPAM/hqdefault.jpg,2026-03-13 02:28:57+00:00,2026-03-15 09:47:54.859724
T5zPtARN1WE,Ustaad Bhagat Singh Trailer | Pawan Kalyan | Ustaad Bhagat Singh Trailer Reaction And Review | UBS,Ra One For You,Entertainment,56237,2859,387,5.772000640147946,518,https://i.ytimg.com/vi/T5zPtARN1WE/hqdefault.jpg,2026-03-14 13:50:32+00:00,2026-03-15 09:47:54.859724
sNUjYGdeWu8,I Need To Steal People's Face in This Horror Game (2 Random Horror Games),Live Insaan,Gaming,675854,30142,2124,4.774108017412044,1548,https://i.ytimg.com/vi/sNUjYGdeWu8/hqdefault.jpg,2026-03-13 13:45:16+00:00,2026-03-15 09:47:54.859724
55KzMQB6b18,Aadu 3 Video Song | Sulthaan | Shaan Rahman | Midhun Manuel Thomas |Vijay Babu & Venu Kunnappilly,Friday Music Company,Music,804573,43595,2724,5.756966738878884,274,https://i.ytimg.com/vi/55KzMQB6b18/hqdefault.jpg,2026-03-14 14:30:06+00:00,2026-03-15 09:47:54.859724
3wTDEpsZb_c,SWARG SE PYARA GHAR HAMARA - OFFICIAL TRAILER #Aamrapali Dubey #Anshuman.S #Shradha .N #Prakash J,Worldwide Records Bhojpuri,Music,341902,3896,36,1.150037145146855,260,https://i.ytimg.com/vi/3wTDEpsZb_c/hqdefault.jpg,2026-03-13 00:30:07+00:00,2026-03-15 09:47:54.859724
fnHtZ-Vqpkg,"Last to Leave the Circle Will Win $99,999,999..",Karry Kraft,Gaming,445129,9452,386,2.210145822896284,739,https://i.ytimg.com/vi/fnHtZ-Vqpkg/hqdefault.jpg,2026-03-14 12:24:09+00:00,2026-03-15 09:47:54.859724
_6NkHzf4zfM,Loveah Sollitalea Music Video | Ken Karunaas | GV Prakash | Youth,G.V. Prakash Kumar,Music,1173615,20338,364,1.7639515514031434,181,https://i.ytimg.com/vi/_6NkHzf4zfM/hqdefault.jpg,2026-03-13 14:39:50+00:00,2026-03-15 09:47:54.859724
dvQgE-8noLs,"Main Vaapas Aaunga | Official Teaser | Imtiaz Ali, A. R. Rahman, Diljit, Vedang, Sharvari, Naseer",Applause Entertainment,Entertainment,2821788,16816,729,0.621768892631197,74,https://i.ytimg.com/vi/dvQgE-8noLs/hqdefault.jpg,2026-03-13 07:30:09+00:00,2026-03-15 09:47:54.859724
CWRfeB95ISo,I BECAME A BUS DRIVER,Techno Gamerz,Gaming,5179809,220139,35330,4.932015833016236,1823,https://i.ytimg.com/vi/CWRfeB95ISo/hqdefault.jpg,2026-03-11 08:30:06+00:00,2026-03-15 09:47:54.859724
RiMpllYIcDM,Video | पिया हो लाय दा ना टॉनिकबा | #Saurabh Sugam Yadav & Srishti Bharti का सुपरहिट गाना | New Song,Saurabh Sugam Official ,Music,295211,9805,136,3.3674219456592067,184,https://i.ytimg.com/vi/RiMpllYIcDM/hqdefault.jpg,2026-03-13 01:30:25+00:00,2026-03-15 09:47:54.859724
Zil4RlXJkrc,Bhooth Bangla Teaser Review | Yogi Bolta Hai,YOGI BOLTA HAI,Entertainment,502440,22073,1041,4.60035029058196,182,https://i.ytimg.com/vi/Zil4RlXJkrc/hqdefault.jpg,2026-03-12 09:57:26+00:00,2026-03-15 09:47:54.859724
