video_id,title,channel_name,channel_id,published_at,description,category_id,category_name,duration,view_count,like_count,comment_count,thumbnail_url,tags,fetched_at
dESIGVxSSCE,"Dhurandhar The Revenge - AARI AARI | Ranveer Singh | Shashwat Sachdev, Bombay Rockers | Aditya Dhar",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,2026-03-12T06:42:17Z,"Get ready to witness the sound of revenge. ❤️‍🔥

Presenting #AariAari, the powerful new track from #DhurandharTheRevenge.

With electrifying music, intense energy, and commanding vocals, this track brings the spirit of revenge alive like never before.
Listen now and feel the unstoppable energy of #AariAari. 🔥

Credits: 
Jio Studios Presents
A B62 Studios Production

An Aditya Dhar Film
DHURANDHAR THE REVENGE

Written, Directed and Produced by: Aditya Dhar
Produced by: Jyoti Deshpande
Produced by",10,Music,PT2M44S,16681041,392264,10808,https://i.ytimg.com/vi/dESIGVxSSCE/hqdefault.jpg,tseries|tseries songs|dhurandhar the revenge aari aari|dhurandhar 2 aari aari song|dhurandhar 2 new song|ranveer singh new song|aari aari full song|dhurandhar 2 movie|dhurandhar 2 trailer|aari aari song dhurandhar 2|dhurandhar 2 aditya dhar|dhurandhar song reaction|dhurandhar 2 aari aari full song|dhurandhar 2 trailer song|aari aari ranveer singh|dhurandhar 2 full movie|dhurandhar songs|aari aari bombay rockers|dhurandhar 2 song|aari aari|aari aari lyrics,2026-03-15T09:32:05.692372
MLU5ZEp9YDo,Ustaad Bhagat Singh Trailer | Pawan Kalyan | Harish Shankar | Sreeleela | Raashii Khanna,Mythri Movie Makers,UCKZSn5C-RzrLjuWJF8wWiDw,2026-03-14T13:00:20Z,"Ustaad Bhagat Singh Trailer on @MythriMovieMakers 

Ustaad Bhagat Singh is an Upcoming Telugu movie ft. Pawan Kalyan, Sreeleela, Raashii Khanna & others. Music composed by Rockstar Devi Sri Prasad, Written and Directed by Harish Shankar.S. Produced by Naveen Yerneni and Y. Ravi Shankar under Mythri Movie Makers Banner.

In Cinemas March 19th, 2026.

#UstaadBhagatSinghTrailer #UstaadBhagatSingh #PawanKalyan #HarishShankar #Sreeleela #RaashiiKhanna #DeviSriPrasad #DSP #NaveenYerneni #RaviShankar #",24,Entertainment,PT2M14S,8443623,444568,9828,https://i.ytimg.com/vi/MLU5ZEp9YDo/hqdefault.jpg,Ustaad Bhagat Singh Trailer|Ustaad Bhagat Singh|Pawan Kalyan|Sreeleela|Harish Shankar|DSP|Devi Sri Prasad|Raashii Khanna|Thaman S|Mythri Movie Makers|Ustaad Bhagat Singh Movie Showreel|Ustaad Bhagat Singh Telugu Movie Showreel|Pawan Kalyan Ustaad Bhagat Singh|Ustaad Bhagat Singh Teaser|Pawan Kalyan Latest Movies|Latest Telugu Movies 2026|2026 Latest Telugu Movies|Naveen Yerneni|Dekhlenge Saala|UBS Trailer|Ustaad Trailer,2026-03-15T09:32:05.692372
PQxomB2-C34,[Hindi] BGIS 2026 | SEMI FINALS | Day 3 #BGMILIVE #BGIS,KRAFTON INDIA ESPORTS,UCugG6-k5QGbq_iDEPAnG4NQ,2026-03-14T14:43:48Z,"The SEMI FINALS of BGIS 2026 begin.

The competition tightens. The stakes rise. There is no margin for error now.

After battling through The Grind, Round stages, Quarter Finals and Wildcard, only the strongest remain. Every match carries weight. Every fight moves teams one step closer to the Grand Finals.

This is where contenders turn into finalists.

Watch the SEMI FINALS live and witness who takes the next step toward the championship stage.

Follow us on Instagram: https://www.instagram.com",20,Gaming,PT5H33M15S,3087661,97971,360,https://i.ytimg.com/vi/PQxomB2-C34/hqdefault.jpg,BGMI|BGIS 2026|BGMI gameplay|Krafton BGMI|BGIS QF|BGIS Road to Finals|BGIS 2026 Live|BGMILIVE|BGMI Esports|BGMI Matches|BGMI Pro Gameplay|KIE|BGIS 2026 Update|BGIS SEMI FINALS|BGIS 2026 SEMI FINALS|BGIS Semi Finals Live|BGIS Tournament|BGIS Esports|BGMI LIVE|BGMI Tournament|BGMI Competitive|BGMI India|BGMI Esports India|BGMI Live Stream|Krafton India Esports|BGIS 2026 Live Stream,2026-03-15T09:32:05.692372
in-VYGclxQw,Collar Ey Etthara - Lyric Video | Ustaad Bhagat Singh | Pawan Kalyan |Harish Shankar|Devi Sri Prasad,Sony Music South,UCn4rEMqKtwBQ6-oEwbd4PcA,2026-03-12T11:30:19Z,"Song Name : Collar Ey Etthara
Music by Devi Sri Prasad
Sung by Ram Miriyala
Lyrics Kasarla Shyam
Production : Mythri Movie Makers 
Movie : USTAAD BHAGAT SINGH
Cast: Pawan Kalyan, Sreeleela, RaashiiKhanna, Parthiban & Others

Technical Crew:
Written-Directed by: Harish Shankar.S
Producers: Naveen Yerneni, Ravi Shankar Yalamanchili
Music: Devi Sri Prasad
Screenplay: K Dasharath, Ramesh Reddy
Additional writing: Praveen Varma and Chandramohan.
Editing: Karthika Srinivas Production Designer: Anand S",10,Music,PT4M21S,7137304,304880,3549,https://i.ytimg.com/vi/in-VYGclxQw/hqdefault.jpg,Sony Music South|Sony Music|Latest Song|Tamil song|Tamil Latest Song|Latest songs in Tamil4|Songs in Tamil|Latest Tamil Movies|Tamil Movie Songs|Latest Video Songs Tamil|latest Tamil Love Songs|Latest Tamil Hit Songs|Songs in Telugu4|Telugu Movie Songs|Video Songs Telugu|new Telugu Songs,2026-03-15T09:32:05.692372
D6sCbIv4N7Y,"Bhooth Bangla -Official Teaser | Akshay Kumar, Tabu, Paresh, Wamiqa, Priyadarshan |In Cinemas 10 Apr",Balaji Motion Pictures,UCSHLoG-bXj1aVA2T5y8t84A,2026-03-12T05:41:02Z,"Laughter, screams, and surprises are waiting inside the Bangla. Dare to enter? 🤣🧟‍♀️
#BhoothBanglaTeaser out now!

#BhoothBangla in cinemas on 10th April 2026 👻

Bhooth Bangla reunites #AkshayKumar with acclaimed director #Priyadarshan after 14 years, promising a delightful blend of comedy, horror, and thrill.

Balaji Telefilms Ltd. in association with Cape Of Good Films present
Bhooth Bangla

Starring: Akshay Kumar, Paresh Rawal, Rajpal Yadav, Tabu, Wamiqa Gabbi, Jisshu Sengupta, Manoj Joshi, M",1,Film & Animation,PT1M24S,19213762,271674,12906,https://i.ytimg.com/vi/D6sCbIv4N7Y/hqdefault.jpg,Bhooth Bangla|bhooth bangla|bhooth bangla trailer|bhoot bangla trailer|bhooth bangla teaser|bhoot bangla teaser|bhooth bangla song|bhooth bangla movie trailer|bhooth bangla movie teaser|bhoot bangla teaser official|bhoot bangla akshay kumar|akshay kumar|tabu|paresh rawal|wamiqa gabbi|akshay kumar new movie|priyadarshan movie|akshay kumar comedy,2026-03-15T09:32:05.692372
E2rtId8PzV0,Minecraft But I Opened a Mob Daycare..,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,2026-03-13T11:43:39Z,"in this video we opened a daycare for mob..

#minecraft 
#carrydepie",20,Gaming,PT19M46S,1022984,13735,712,https://i.ytimg.com/vi/E2rtId8PzV0/hqdefault.jpg,carry depie|minecraft,2026-03-15T09:32:05.692372
h0X_h3y96n4,Sarse Ninna Seraga Sarse Kannada Song  | KD | Nora Fatehi | Dhruva Sarja | Prems | AJ | KVN,Anand Audio,UCLtCejNl8eAg4PO_9lf2TIg,2026-03-14T13:47:03Z,"Presenting The Sarse Ninna Seraga Sarse Lyrical Song From The Movie KD-The Devil Starring: Dhruva Sarja, Reeshma Nanaiah, Shilpa Shetty & Others Exclusive Only On Anand Audio Official Youtube Channel..!!! 
----------------------------------------------
#KD #KDTHEDEVIL #sarseninnaseragasarse #norafatehi #prems  #aishwaryarangarajan #rajusundaram  #KVNProductions #jogiprem #kannadanewsong  #kdmoviesong #kannadamoviesongs #reeshmananaiah #dhruvasarja #trending #prems #dance #newsong #hindisong #jog",24,Entertainment,PT3M55S,916341,21082,1205,https://i.ytimg.com/vi/h0X_h3y96n4/hqdefault.jpg,kannada|Dhruva Sarja|Prem's|Arjun Janya|KVN Productions|Kd Movie Song|Kd movie|KD|Kd kannada Movie songs|javed ali songs|kannada new songs|KD THE DEVIL film songs|Arjun Janya new songs|kd hindi|KD movie kannada|kannada latest songs|nora fatehi new song|nora fatehi dance|nora fatehi songs|kd new songs|kannada aishwarya rangarajan new songs|telugu new songs|latest songs kannada|2026 songs kannada|Sarse Ninna Seraga Sarse|sarse sarse song,2026-03-15T09:32:05.692372
Exukk6JO9i0,BTS (방탄소년단) '아리랑 (ARIRANG)' Animation Trailer: What is your love song?,BANGTANTV,UCLkAepWjdylmXSltofFvsYQ,2026-03-13T02:00:00Z,"본 콘텐츠는 1896년 5월 8일자 The Washington Post에 실린 한국 청년 7인의 이야기(“Seven Koreans at Howard"")와, 이들 중 일부가 같은 해 7월 24일 미국 워싱턴 D.C.에서 한국 최초의 음원을 녹음한 기록에서 영감을 받아 기획되었습니다. 한국에서 건너간 청년들의 실제 목소리가 담긴 역사적 기록과 최초의 아리랑 녹음이라는 문화적 의미를 모티브로 삼아 현대적 상상력에 기반하여 재구성 및 창작된 것으로, 실제와 다를 수 있으며 역사적 사건이나 인물에 대한 평가·해석과는 무관함을 밝힙니다.

This video was inspired by the story of seven young Koreans as documented in The Washington Post on May 8, 1896 (“Seven Koreans at Howard”), some of whom captured the first known audio recordings of Ko",10,Music,PT1M4S,3277567,692318,39558,https://i.ytimg.com/vi/Exukk6JO9i0/hqdefault.jpg,방탄소년단|BTS|BANGTAN|알엠|RM|슈가|SUGA|제이홉|jhope|지민|정국|k-pop|방탄|j-hope|Jung Kook|Jimin|BTS V|Jin,2026-03-15T09:32:05.692372
28aVatf_1gI,🔴[Live Free Fire New Rank Season Rank Push Live !!,VISHNU RAJPUT GAMING,UCh_ilHTu7pYJ11_XKlT_9sA,2026-03-14T18:29:54Z,#freefire #live #shortslive #rankpush #rankpushlive #freefireindia #freefirelive  #freefiremax #shortsfeed  !!,20,Gaming,PT11H54M58S,1109949,20168,16,https://i.ytimg.com/vi/28aVatf_1gI/hqdefault.jpg,,2026-03-15T09:32:05.692372
aTD4Jgculqw,#Video | जेल यात्रा | #Jail Star Raushan Rohi | Jail Yatra | New #Maghi Rangdari Song 2026,Raushan Rohi - Junction ,UCB9pY5_pKSBHZHke-uxyMcg,2026-03-13T00:45:00Z,"---------------------------------------------------------------------

►Album :- जेल यात्रा 
►Song :- Jail Yatra
►Singer :- Jail Star Raushan Rohi
►Lyrics :-  Ayush Raj Singh
►Music :- Vicky Vox
►Mixing :- Ankit Ahir
►Video Director :- Ashish Park
►Feat :- Shivani Singh
►Choreographer : - Vicky ds
►Manager :- Bittu Singh
►Producer :- Raushan Rohi
► Music ON : Raushan Rohi - Junction
---------------------------------------------------------------------
► Digital : Suraj Sundram
► Digital Manager ",10,Music,PT2M43S,256033,3525,57,https://i.ytimg.com/vi/aTD4Jgculqw/hqdefault.jpg,Raushan Rohi|jail yatra song|jail yatra raushan rohi|jail yatra|Maghi Rangdari Song 2026|raushan rohi jail yatra song|raushan rohi new song|raushan rohi ke gana|raushan rohi maghi song|raushan rohi rangdari song|raushan rohi new gana|rangdari ke kamai|raushan rohi rangdari gana|raushan rohi new rangdari song|raushan rohi maghi rangdari song|raushan rohi new rangdari gana|raushan rohi ke naya gana|raushan rohi entertainment|maghi new rangdari song,2026-03-15T09:32:05.692372
